sr,sg,sb,cr,cg,cb,mr,mg,mb,tr,tg,tb,y_matrix,y_target,rr,rg,rb
0.03137255,0.07058824,0.105882354,0.019607844,0.039215688,0.05490196,0.03984648,0.090721734,0.07877654,0.020015663,0.045571294,0.039570987,0.07904322,0.03617961,-0.0004078187,-0.006355606,0.015330974
0.101960786,0.105882354,0.11372549,0.07450981,0.08235294,0.078431375,0.106555015,0.13561045,0.08153461,0.062789634,0.07991112,0.04804587,0.12552898,0.08040235,0.011720173,0.0024418235,0.030385505
0.023529412,0.015686275,0.05882353,0.007843138,0.003921569,0.023529412,0.025922412,0.030232165,0.042429477,0.008396108,0.009792009,0.0137426425,0.030196559,0.0061709806,-0.00055297,-0.0058704405,0.00978677
0.03137255,0.047058824,0.050980393,0.023529412,0.023529412,0.023529412,0.034809314,0.058089618,0.037435066,0.01448366,0.024170265,0.015576199,0.051648967,0.023529412,0.009045752,-0.0006408524,0.0079532135
0.011764706,0.003921569,0.023529412,0.0,0.0,0.007843138,0.0123193655,0.010360075,0.01672865,0.0025475295,0.0021423665,0.0034593283,0.011236432,0.00056627457,-0.0025475295,-0.0021423665,0.0043838094
0.019607844,0.03529412,0.039215688,0.007843138,0.015686275,0.011764706,0.022629622,0.043132816,0.02904418,0.008004275,0.015256415,0.010273154,0.037756637,0.013735687,-0.00016113743,0.00042986032,0.0014915522
0.03529412,0.101960786,0.18039216,0.03137255,0.07058824,0.10980392,0.050178442,0.13514349,0.13461356,0.028905805,0.07785079,0.077545516,0.117041655,0.06508236,0.0024667457,-0.0072625503,0.032258406
0.023529412,0.105882354,0.17254902,0.011764706,0.078431375,0.11764706,0.039379977,0.13511464,0.12974207,0.02256784,0.077431366,0.074352466,0.11437355,0.067089416,-0.010803134,0.0010000095,0.043294594
0.043137256,0.03137255,0.06666667,0.023529412,0.003921569,0.03137255,0.045224223,0.04917534,0.04760072,0.018087639,0.019667907,0.01903813,0.048221644,0.010072158,0.0054417737,-0.015746338,0.012334421
0.17254902,0.09803922,0.12156863,0.11764706,0.07058824,0.07058824,0.17011756,0.14170012,0.08254803,0.10580159,0.08812787,0.05133928,0.14347088,0.080592945,0.0118454695,-0.017539628,0.019248959
0.078431375,0.078431375,0.08627451,0.039215688,0.05490196,0.050980393,0.08167241,0.10135044,0.06170924,0.044015102,0.05462004,0.0332565,0.0943048,0.051283922,-0.0047994144,0.00028192252,0.017723892
0.043137256,0.0627451,0.07450981,0.023529412,0.039215688,0.043137256,0.047986686,0.07903125,0.05463953,0.023070969,0.03799653,0.026269514,0.07067009,0.036163922,0.00045844354,0.0012191571,0.016867742
0.15294118,0.10980392,0.13333334,0.10980392,0.07450981,0.08627451,0.15400387,0.15154332,0.092911966,0.09757223,0.09601329,0.05886623,0.14783326,0.08286275,0.012231693,-0.021503486,0.027408283
0.02745098,0.019607844,0.023529412,0.003921569,0.003921569,0.003921569,0.027610054,0.027025621,0.016376544,0.008458451,0.008279407,0.00501702,0.026381008,0.003921569,-0.0045368825,-0.0043578385,-0.001095451
